0	0.08333	washington country state 
1	0.08333	time applause leader 
2	0.08333	america people jobs 
3	0.08333	carson quote senator_rubio 
4	0.08333	question climate_change youtube 
5	0.08333	state issue fact 
6	0.08333	obamacare health_care plan 
7	0.08333	information wrong security 
8	0.08333	campaign public things 
9	0.08333	isis war middle_east 
10	0.08333	country quickly time 
11	0.08333	trump donald_trump campaign 
12	0.08333	governor crosstalk federal_government 
13	0.08333	lot people applause 
14	0.08333	lot big work 
15	0.08333	pay taxes percent 
16	0.08333	government social_security sense 
17	0.08333	question turn voters 
18	0.08333	candidates applause debate 
19	0.08333	president iraq voted 
20	0.08333	problem law home 
21	0.08333	congress time deal 
22	0.08333	college kids country 
23	0.08333	world o'malley john 
24	0.08333	country life political 
25	0.08333	place people president 
26	0.08333	sir respond president_obama 
27	0.08333	new_jersey bring deal 
28	0.08333	debate break questions 
29	0.08333	issues senator rubio 
30	0.08333	democrats win party 
31	0.08333	mentioned inaudible conflict 
32	0.08333	isis support iraq 
33	0.08333	iowa des_moines laughter 
34	0.08333	iran north_korea china 
35	0.08333	country isis attack 
36	0.08333	support can't wasn't 
37	0.08333	president country united_states 
38	0.08333	veterans veteran bill 
39	0.08333	people police america 
40	0.08333	trade china eminent_domain 
41	0.08333	crosstalk talked favor 
42	0.08333	seconds respond give 
43	0.08333	o'malley governor percent 
44	0.08333	money dollars millions 
45	0.08333	city lot lives 
46	0.08333	start path reform 
47	0.08333	secretary_clinton senator_sanders guns 
48	0.08333	wall_street secretary_clinton economy 
49	0.08333	senator governor bring 
50	0.08333	chief commander defense 
51	0.08333	issue campaign senator_sanders 
52	0.08333	business power companies 
53	0.08333	state john o'malley 
54	0.08333	good time ahead 
55	0.08333	new_hampshire tonight voters 
56	0.08333	applause people make 
57	0.08333	president ronald_reagan approach 
58	0.08333	military women commander-in-chief 
59	0.08333	people applause point 
